y_true,y_pred,correct,logit_margin,aupnn_prob,aupnn_logit,mc_prob,mc_logit,mc_prob_top1,mc_logit_top1,aupnn_prob_top1,aupnn_logit_top1,mc_prob_top1_true,mc_logit_top1_true,aupnn_prob_top1_true,aupnn_logit_top1_true,conf_top1
2,2,1,14.695512771606445,6.105109306986378e-09,0.021534208208322525,2.5899755673464142e-09,0.02038911171257496,0.0,0.005766976159065962,4.5007704230215495e-09,0.007670885883271694,0.0,0.005766976159065962,4.5007704230215495e-09,0.007670885883271694,0.9999995231628418
5,5,1,8.37742805480957,3.143886715406552e-06,0.022927120327949524,3.78168124370859e-06,0.022768886759877205,2.6870723104366334e-06,0.009059048257768154,2.2392730443243636e-06,0.00758966151624918,2.6870723104366334e-06,0.009059048257768154,2.2392730443243636e-06,0.00758966151624918,0.999764621257782
8,8,1,16.90927505493164,1.0732638111576875e-09,0.02141260914504528,4.171097356397979e-10,0.021118637174367905,0.0,0.0061578163877129555,9.202206219249831e-10,0.007167797535657883,0.0,0.0061578163877129555,9.202206219249831e-10,0.007167797535657883,0.9999998807907104
8,8,1,17.026771545410156,3.8314904027281216e-10,0.019813187420368195,3.0364336045529683e-10,0.018987346440553665,0.0,0.005713439080864191,1.9901248704545793e-10,0.006112770643085241,0.0,0.005713439080864191,1.9901248704545793e-10,0.006112770643085241,1.0
2,2,1,7.803160667419434,7.437082331307465e-06,0.02689802087843418,8.54536938277306e-06,0.02695850282907486,6.04985689278692e-06,0.009758912026882172,5.258663350105053e-06,0.00941492523998022,6.04985689278692e-06,0.009758912026882172,5.258663350105053e-06,0.00941492523998022,0.9995917677879333
7,7,1,7.698531150817871,7.880847988417372e-06,0.025873985141515732,6.349532668536995e-06,0.0261735487729311,4.4921107473783195e-06,0.009299988858401775,5.592330580839189e-06,0.009555947966873646,4.4921107473783195e-06,0.009299988858401775,5.592330580839189e-06,0.009555947966873646,0.9995414018630981
3,3,1,19.60563850402832,3.5447200730232e-11,0.022067898884415627,3.1940176198341774e-11,0.021346503868699074,0.0,0.007049347274005413,1.9421410660247496e-11,0.006652724463492632,0.0,0.007049347274005413,1.9421410660247496e-11,0.006652724463492632,1.0
9,9,1,11.631232261657715,1.1968332103151624e-07,0.02282961644232273,1.0712827247516543e-07,0.024236056953668594,8.637533710498246e-08,0.00529120396822691,8.671936058135543e-08,0.005873001180589199,8.637533710498246e-08,0.00529120396822691,8.671936058135543e-08,0.005873001180589199,0.9999899864196777
9,9,1,4.689087867736816,0.000130867789266631,0.02376198209822178,9.958875307347625e-05,0.02231077291071415,6.97157156537287e-05,0.003883100813254714,9.344533464172855e-05,0.005485940724611282,6.97157156537287e-05,0.003883100813254714,9.344533464172855e-05,0.005485940724611282,0.9902515411376953
2,2,1,18.070497512817383,1.7713061573054745e-10,0.02307569421827793,1.393046650255414e-10,0.023336902260780334,0.0,0.0063018156215548515,9.583772664356616e-11,0.007907495833933353,0.0,0.0063018156215548515,9.583772664356616e-11,0.007907495833933353,1.0
